Player,Team,Postion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Darius Slayton,NYG,WR,67,82,84,88,,,,,,,,,,,,,,,211,80
Sterling Shepard,NYG,WR,20,15,0,7,,,,,,,,,,,,,,,29,14
Jalin Hyatt,NYG,WR,36,21,0,60,,,,,,,,,,,,,,,84,39
Isaiah Hodgins,NYG,WR,60,75,66,37,,,,,,,,,,,,,,,154,59
KaVontae Turpin,DAL,WR,19,18,2,30,,,,,,,,,,,,,,,50,17
CeeDee Lamb,DAL,WR,79,72,83,63,,,,,,,,,,,,,,,220,74
Brandin Cooks,DAL,WR,59,0,80,70,,,,,,,,,,,,,,,148,71
Michael Gallup,DAL,WR,67,72,69,53,,,,,,,,,,,,,,,195,66
Jalen Tolbert,DAL,WR,28,68,0,34,,,,,,,,,,,,,,,99,46
Randall Cobb,NYJ,WR,41,49,73,39,,,,,,,,,,,,,,,114,51
Allen Lazard,NYJ,WR,78,94,97,86,,,,,,,,,,,,,,,198,89
Garrett Wilson,NYJ,WR,93,91,97,93,,,,,,,,,,,,,,,209,94
Xavier Gipson,NYJ,WR,2,0,0,19,,,,,,,,,,,,,,,12,11
Deonte Harty,BUF,WR,22,19,19,26,,,,,,,,,,,,,,,58,21
Gabe Davis,BUF,WR,94,74,76,72,,,,,,,,,,,,,,,217,79
Stefon Diggs,BUF,WR,84,87,66,76,,,,,,,,,,,,,,,215,79
Khalil Shakir,BUF,WR,0,15,24,28,,,,,,,,,,,,,,,44,22
Tre Tucker,LV,WR,0,22,0,0,,,,,,,,,,,,,,,9,23
Hunter Renfrow,LV,WR,0,65,51,45,,,,,,,,,,,,,,,96,52
Nelson Agholor,BAL,WR,0,33,72,74,,,,,,,,,,,,,,,120,59
Velus Jones Jr.,CHI,WR,0,8,0,4,,,,,,,,,,,,,,,7,6
Tim Jones,JAC,WR,0,9,33,59,,,,,,,,,,,,,,,69,33
John Metchie III,HOU,WR,0,17,27,23,,,,,,,,,,,,,,,45,21
Antoine Green,DET,WR,0,11,0,0,,,,,,,,,,,,,,,7,11
Jake Bobo,SEA,WR,0,25,41,38,,,,,,,,,,,,,,,70,35
Austin Trammell,LAR,WR,0,1,0,0,,,,,,,,,,,,,,,1,1
Ronnie Bell,SF,WR,0,47,37,16,,,,,,,,,,,,,,,67,34
Mecole Hardman Jr.,NYJ,WR,0,30,0,0,,,,,,,,,,,,,,,14,30
Jerry Jeudy,DEN,WR,0,68,76,62,,,,,,,,,,,,,,,122,69
Byron Pringle,WAS,WR,0,18,0,23,,,,,,,,,,,,,,,31,21
DeVante Parker,NE,WR,0,100,76,82,,,,,,,,,,,,,,,174,87
DJ Chark Jr.,CAR,WR,0,62,94,92,,,,,,,,,,,,,,,177,84
Miles Boykin,PIT,WR,0,7,0,0,,,,,,,,,,,,,,,4,7
Gunner Olszewski,PIT,WR,0,2,0,0,,,,,,,,,,,,,,,1,2
Wan'Dale Robinson,NYG,WR,0,0,22,64,,,,,,,,,,,,,,,59,47
Robbie Chosen,MIA,WR,0,0,58,28,,,,,,,,,,,,,,,60,43
KhaDarel Hodge,ATL,WR,0,0,19,24,,,,,,,,,,,,,,,27,22
Trent Sherfield,BUF,WR,0,0,46,47,,,,,,,,,,,,,,,58,46
Brandon Powell,MIN,WR,0,0,5,2,,,,,,,,,,,,,,,5,4
Mason Kinsey,TEN,WR,0,0,4,2,,,,,,,,,,,,,,,3,3
Olamide Zaccheaus,PHI,WR,0,0,55,86,,,,,,,,,,,,,,,105,70
Britain Covey,PHI,WR,0,0,5,8,,,,,,,,,,,,,,,10,7
Charlie Jones,CIN,WR,0,0,4,0,,,,,,,,,,,,,,,3,4
Christian Watson,GB,WR,0,0,0,46,,,,,,,,,,,,,,,26,46
Parker Washington,JAC,WR,0,0,0,2,,,,,,,,,,,,,,,1,2
Lynn Bowden Jr.,NO,WR,0,0,0,17,,,,,,,,,,,,,,,11,17
Cedrick Wilson Jr.,MIA,WR,0,0,0,35,,,,,,,,,,,,,,,23,35
Colton Dowell,TEN,WR,0,0,0,23,,,,,,,,,,,,,,,15,23
Trenton Irwin,CIN,WR,0,0,0,42,,,,,,,,,,,,,,,22,42
Andrei Iosivas,CIN,WR,0,0,0,19,,,,,,,,,,,,,,,10,19
Cedric Tillman,CLE,WR,0,0,0,20,,,,,,,,,,,,,,,14,20
Laquon Treadwell,BAL,WR,0,0,0,29,,,,,,,,,,,,,,,17,29
Equanimeous St. Brown,CHI,WR,0,0,0,58,,,,,,,,,,,,,,,42,58
Willie Snead IV,SF,WR,0,0,0,13,,,,,,,,,,,,,,,7,13
Greg Dortch,ARI,WR,0,0,0,1,,,,,,,,,,,,,,,1,1
Cody Thompson,SEA,WR,0,0,0,11,,,,,,,,,,,,,,,6,11
Noah Gray,KC,TE,88,61,61,49,,,,,,,,,,,,,,,179,64
Blake Bell,KC,TE,40,0,0,0,,,,,,,,,,,,,,,26,40
Sam LaPorta,DET,TE,83,82,74,80,,,,,,,,,,,,,,,224,80
Brock Wright,DET,TE,39,0,0,0,,,,,,,,,,,,,,,27,39
Isaiah Likely,BAL,TE,72,33,26,26,,,,,,,,,,,,,,,105,39
Charlie Kolar,BAL,TE,20,0,0,0,,,,,,,,,,,,,,,13,20
Andrew Beck,HOU,TE,19,20,50,48,,,,,,,,,,,,,,,94,33
Dalton Schultz,HOU,TE,81,71,68,49,,,,,,,,,,,,,,,195,68
Teagan Quitoriano,HOU,TE,29,0,34,0,,,,,,,,,,,,,,,41,31
Kyle Pitts,ATL,TE,62,70,78,64,,,,,,,,,,,,,,,178,69
Jonnu Smith,ATL,TE,50,67,72,55,,,,,,,,,,,,,,,161,62
Parker Hesse,ATL,TE,13,0,0,0,,,,,,,,,,,,,,,7,13
Giovanni Ricci,CAR,TE,10,0,0,4,,,,,,,,,,,,,,,11,7
Hayden Hurst,CAR,TE,53,55,61,51,,,,,,,,,,,,,,,159,55
Ian Thomas,CAR,TE,19,0,16,35,,,,,,,,,,,,,,,53,23
Tommy Tremble,CAR,TE,23,13,28,0,,,,,,,,,,,,,,,48,22
Jordan Akins,CLE,TE,31,10,0,22,,,,,,,,,,,,,,,47,20
David Njoku,CLE,TE,73,85,73,70,,,,,,,,,,,,,,,228,76
Harrison Bryant,CLE,TE,36,30,35,17,,,,,,,,,,,,,,,90,30
Irv Smith Jr.,CIN,TE,54,77,0,0,,,,,,,,,,,,,,,76,65
Mitchell Wilcox,CIN,TE,12,0,42,36,,,,,,,,,,,,,,,58,31
Pat Freiermuth,PIT,TE,51,76,79,51,,,,,,,,,,,,,,,152,64
Connor Heyward,PIT,TE,27,19,21,25,,,,,,,,,,,,,,,55,23
George Kittle,SF,TE,69,96,83,96,,,,,,,,,,,,,,,224,85
Charlie Woerner,SF,TE,31,16,0,0,,,,,,,,,,,,,,,30,24
Logan Thomas,WAS,TE,82,40,0,79,,,,,,,,,,,,,,,149,67
Cole Turner,WAS,TE,14,32,57,8,,,,,,,,,,,,,,,70,25
John Bates,WAS,TE,37,52,57,35,,,,,,,,,,,,,,,122,44
Geoff Swaim,ARI,TE,29,0,0,28,,,,,,,,,,,,,,,38,29
Trey McBride,ARI,TE,37,51,49,27,,,,,,,,,,,,,,,105,41
Zach Ertz,ARI,TE,77,68,59,76,,,,,,,,,,,,,,,182,70
Taysom Hill,NO,TE,14,40,30,51,,,,,,,,,,,,,,,91,34
Juwan Johnson,NO,TE,75,81,70,0,,,,,,,,,,,,,,,154,76
Chigoziem Okonkwo,TEN,TE,83,69,81,65,,,,,,,,,,,,,,,179,74
Trevon Wesco,TEN,TE,40,62,0,0,,,,,,,,,,,,,,,65,51
T.J. Hockenson,MIN,TE,75,86,89,88,,,,,,,,,,,,,,,213,85
Josh Oliver,MIN,TE,47,34,33,46,,,,,,,,,,,,,,,99,39
Ko Kieft,TB,TE,47,0,0,21,,,,,,,,,,,,,,,47,34
Cade Otton,TB,TE,97,97,91,100,,,,,,,,,,,,,,,249,97
Kylen Granson,IND,TE,61,65,52,55,,,,,,,,,,,,,,,160,58
Mo Alie-Cox,IND,TE,42,40,0,27,,,,,,,,,,,,,,,70,36
Andrew Ogletree,IND,TE,21,0,33,44,,,,,,,,,,,,,,,71,32
Evan Engram,JAC,TE,73,75,71,73,,,,,,,,,,,,,,,201,73
Gerald Everett,LAC,TE,68,41,58,69,,,,,,,,,,,,,,,166,59
Donald Parham Jr.,LAC,TE,49,50,52,23,,,,,,,,,,,,,,,123,44
Durham Smythe,MIA,TE,100,97,36,85,,,,,,,,,,,,,,,209,78
Colby Parkinson,SEA,TE,43,50,71,58,,,,,,,,,,,,,,,143,57
Will Dissly,SEA,TE,31,51,0,0,,,,,,,,,,,,,,,53,43
Tyler Higbee,LAR,TE,91,92,96,94,,,,,,,,,,,,,,,278,93
Brycen Hopkins,LAR,TE,28,11,0,10,,,,,,,,,,,,,,,40,16
Mike Gesicki,NE,TE,41,72,47,60,,,,,,,,,,,,,,,153,54
Hunter Henry,NE,TE,79,92,86,80,,,,,,,,,,,,,,,237,84
Dallas Goedert,PHI,TE,92,96,92,100,,,,,,,,,,,,,,,280,95
Jack Stoll,PHI,TE,20,0,51,0,,,,,,,,,,,,,,,54,37
Cole Kmet,CHI,TE,97,68,76,74,,,,,,,,,,,,,,,200,80
Robert Tonyan,CHI,TE,5,34,0,26,,,,,,,,,,,,,,,41,21
Luke Musgrave,GB,TE,75,88,86,25,,,,,,,,,,,,,,,171,70
Josiah Deguara,GB,TE,32,38,22,63,,,,,,,,,,,,,,,91,37
Greg Dulcich,DEN,TE,33,0,0,0,,,,,,,,,,,,,,,21,33
Adam Trautman,DEN,TE,72,82,87,88,,,,,,,,,,,,,,,196,82
Chris Manhertz,DEN,TE,39,0,21,44,,,,,,,,,,,,,,,59,34
Austin Hooper,LV,TE,53,42,0,51,,,,,,,,,,,,,,,85,49
Michael Mayer,LV,TE,49,40,47,0,,,,,,,,,,,,,,,79,46
Daniel Bellinger,NYG,TE,63,41,60,8,,,,,,,,,,,,,,,108,41
Darren Waller,NYG,TE,54,90,82,92,,,,,,,,,,,,,,,209,79
Peyton Hendershot,DAL,TE,48,36,46,0,,,,,,,,,,,,,,,96,42
Jake Ferguson,DAL,TE,72,60,69,56,,,,,,,,,,,,,,,189,64
Tyler Conklin,NYJ,TE,80,87,76,68,,,,,,,,,,,,,,,172,77
Dawson Knox,BUF,TE,84,71,60,50,,,,,,,,,,,,,,,183,67
Dalton Kincaid,BUF,TE,80,60,51,52,,,,,,,,,,,,,,,167,61
MyCole Pruitt,ATL,TE,0,46,27,33,,,,,,,,,,,,,,,75,36
Drew Sample,CIN,TE,0,23,44,32,,,,,,,,,,,,,,,65,34
Mark Andrews,BAL,TE,0,79,82,69,,,,,,,,,,,,,,,158,77
David Wells,TB,TE,0,25,0,0,,,,,,,,,,,,,,,18,25
Travis Kelce,KC,TE,0,64,61,79,,,,,,,,,,,,,,,145,68
Josh Whyle,TEN,TE,0,22,0,29,,,,,,,,,,,,,,,33,25
Stone Smartt,LAC,TE,0,32,0,40,,,,,,,,,,,,,,,48,36
Brevin Jordan,HOU,TE,0,18,18,20,,,,,,,,,,,,,,,39,18
Will Mallory,IND,TE,0,19,0,0,,,,,,,,,,,,,,,11,19
Noah Fant,SEA,TE,0,47,63,45,,,,,,,,,,,,,,,106,52
Luke Schoonmaker,DAL,TE,0,36,23,56,,,,,,,,,,,,,,,89,37
Foster Moreau,NO,TE,0,47,0,0,,,,,,,,,,,,,,,36,47
Jimmy Graham,NO,TE,0,13,28,0,,,,,,,,,,,,,,,27,20
Ben Sims,GB,TE,0,10,0,11,,,,,,,,,,,,,,,11,10
Julian Hill,MIA,TE,0,0,78,15,,,,,,,,,,,,,,,67,49
Nate Adkins,DEN,TE,0,0,10,12,,,,,,,,,,,,,,,12,11
C.J. Uzomah,NYJ,TE,0,0,44,36,,,,,,,,,,,,,,,49,40
Pharaoh Brown,NE,TE,0,0,35,0,,,,,,,,,,,,,,,25,35
Brenton Strange,JAC,TE,0,0,29,36,,,,,,,,,,,,,,,45,32
Luke Farrell,JAC,TE,0,0,34,39,,,,,,,,,,,,,,,51,37
Johnny Mundt,MIN,TE,0,0,9,0,,,,,,,,,,,,,,,7,9
Tre' McKitty,LAC,TE,0,0,15,0,,,,,,,,,,,,,,,10,15
Brady Russell,SEA,TE,0,0,7,0,,,,,,,,,,,,,,,5,7
Tanner Hudson,CIN,TE,0,0,47,43,,,,,,,,,,,,,,,59,45
Tucker Kraft,GB,TE,0,0,0,23,,,,,,,,,,,,,,,13,23
Darnell Washington,PIT,TE,0,0,0,42,,,,,,,,,,,,,,,25,42
Marcedes Lewis,CHI,TE,0,0,0,29,,,,,,,,,,,,,,,21,29
Sean McKeon,DAL,TE,0,0,0,26,,,,,,,,,,,,,,,18,26
Brayden Willis,SF,TE,0,0,0,2,,,,,,,,,,,,,,,1,2
Jeremy Ruckert,NYJ,TE,0,0,0,42,,,,,,,,,,,,,,,25,42
Matt Dickerson,KC,DL,59,28,0,0,,,,,,,,,,,,,,,60,44
Keondre Coburn,KC,DL,13,0,0,0,,,,,,,,,,,,,,,9,13
Mike Danna,KC,DL,86,78,57,85,,,,,,,,,,,,,,,191,77
Felix Anudike-Uzomah,KC,DL,27,24,49,22,,,,,,,,,,,,,,,73,30
Derrick Nnadi,KC,DL,56,51,27,46,,,,,,,,,,,,,,,114,46
George Karlaftis III,KC,DL,84,81,65,86,,,,,,,,,,,,,,,197,80
John Cominsky,DET,DL,42,0,66,63,,,,,,,,,,,,,,,107,57
Benito Jones,DET,DL,62,67,25,0,,,,,,,,,,,,,,,105,51
Aidan Hutchinson,DET,DL,91,94,84,95,,,,,,,,,,,,,,,237,91
Alim McNeill,DET,DL,66,76,60,60,,,,,,,,,,,,,,,172,66
Charles Harris,DET,DL,80,57,61,67,,,,,,,,,,,,,,,172,66
Josh Paschal,DET,DL,26,0,0,0,,,,,,,,,,,,,,,17,26
Travis Jones,BAL,DL,26,33,26,39,,,,,,,,,,,,,,,89,30
Justin Madubuike,BAL,DL,74,60,76,57,,,,,,,,,,,,,,,196,68
Michael Pierce,BAL,DL,55,62,64,0,,,,,,,,,,,,,,,133,60
David Ojabo,BAL,DL,48,70,5,0,,,,,,,,,,,,,,,83,38
Odafe Oweh,BAL,DL,64,23,0,0,,,,,,,,,,,,,,,63,46
Broderick Washington Jr.,BAL,DL,45,0,0,41,,,,,,,,,,,,,,,63,43
Jadeveon Clowney,BAL,DL,60,78,58,57,,,,,,,,,,,,,,,181,63
Dylan Horton,HOU,DL,22,0,41,34,,,,,,,,,,,,,,,64,33
Maliek Collins,HOU,DL,66,61,51,63,,,,,,,,,,,,,,,151,60
Will Anderson Jr.,HOU,DL,75,72,60,61,,,,,,,,,,,,,,,169,67
Sheldon Rankins,HOU,DL,69,60,0,59,,,,,,,,,,,,,,,113,63
Hassan Ridgeway,HOU,DL,23,0,0,0,,,,,,,,,,,,,,,15,23
Kurt Hinish,HOU,DL,33,53,49,51,,,,,,,,,,,,,,,117,46
Jonathan Greenard,HOU,DL,77,72,59,54,,,,,,,,,,,,,,,165,65
Albert Huggins,ATL,DL,32,0,0,0,,,,,,,,,,,,,,,25,32
Arnold Ebiketie,ATL,DL,23,62,16,42,,,,,,,,,,,,,,,88,33
Zach Harrison,ATL,DL,30,34,24,30,,,,,,,,,,,,,,,77,29
Grady Jarrett,ATL,DL,64,72,74,74,,,,,,,,,,,,,,,186,71
David Onyemata,ATL,DL,52,62,61,67,,,,,,,,,,,,,,,158,60
Ta'Quon Graham,ATL,DL,30,28,24,26,,,,,,,,,,,,,,,71,27
Calais Campbell,ATL,DL,66,56,66,59,,,,,,,,,,,,,,,164,62
Brian Burns,CAR,DL,96,79,68,90,,,,,,,,,,,,,,,205,81
Derrick Brown,CAR,DL,96,94,83,79,,,,,,,,,,,,,,,222,88
DeShawn Williams,CAR,DL,65,61,47,50,,,,,,,,,,,,,,,140,56
Justin Houston,CAR,DL,52,60,49,38,,,,,,,,,,,,,,,128,51
Nick Thurman,CAR,DL,38,32,35,0,,,,,,,,,,,,,,,71,35
Shy Tuttle,CAR,DL,63,57,52,65,,,,,,,,,,,,,,,147,58
Myles Garrett,CLE,DL,77,76,77,79,,,,,,,,,,,,,,,167,77
Shelby Harris,CLE,DL,41,39,40,38,,,,,,,,,,,,,,,85,39
Dalvin Tomlinson,CLE,DL,62,65,54,60,,,,,,,,,,,,,,,131,61
Jordan Elliott,CLE,DL,46,44,33,50,,,,,,,,,,,,,,,95,44
Alex Wright,CLE,DL,27,20,35,29,,,,,,,,,,,,,,,60,27
Jay Tufele,CIN,DL,4,0,0,18,,,,,,,,,,,,,,,15,11
Sam Hubbard,CIN,DL,82,77,84,70,,,,,,,,,,,,,,,211,78
Cam Sample,CIN,DL,39,0,29,41,,,,,,,,,,,,,,,72,37
D.J. Reader,CIN,DL,69,67,51,53,,,,,,,,,,,,,,,164,61
B.J. Hill,CIN,DL,76,75,78,62,,,,,,,,,,,,,,,196,73
Trey Hendrickson,CIN,DL,59,71,84,61,,,,,,,,,,,,,,,183,68
Josh Tupou,CIN,DL,34,28,0,36,,,,,,,,,,,,,,,70,32
DeMarvin Leal,PIT,DL,38,45,46,30,,,,,,,,,,,,,,,119,40
Isaiahh Loudermilk,PIT,DL,46,0,0,18,,,,,,,,,,,,,,,44,32
Keeanu Benton,PIT,DL,43,32,29,41,,,,,,,,,,,,,,,107,36
Montravius Adams,PIT,DL,50,60,65,58,,,,,,,,,,,,,,,174,58
Larry Ogunjobi,PIT,DL,63,59,68,65,,,,,,,,,,,,,,,189,64
Cameron Heyward,PIT,DL,21,0,0,0,,,,,,,,,,,,,,,14,21
Drake Jackson,SF,DL,44,50,60,58,,,,,,,,,,,,,,,139,52
Nick Bosa,SF,DL,56,79,78,68,,,,,,,,,,,,,,,185,70
Clelin Ferrell,SF,DL,49,55,40,48,,,,,,,,,,,,,,,129,49
Javon Kinlaw,SF,DL,38,36,0,42,,,,,,,,,,,,,,,83,39
Arik Armstead,SF,DL,65,68,72,61,,,,,,,,,,,,,,,174,66
Javon Hargrave,SF,DL,67,64,68,56,,,,,,,,,,,,,,,167,63
Kerry Hyder Jr.,SF,DL,25,0,0,0,,,,,,,,,,,,,,,16,25
Daron Payne,WAS,DL,81,77,79,94,,,,,,,,,,,,,,,222,83
Montez Sweat,WAS,DL,82,73,72,82,,,,,,,,,,,,,,,206,77
Abdullah Anderson,WAS,DL,16,0,0,8,,,,,,,,,,,,,,,16,12
John Ridgeway,WAS,DL,26,29,29,18,,,,,,,,,,,,,,,68,25
Jonathan Allen,WAS,DL,92,86,82,80,,,,,,,,,,,,,,,227,85
James Smith-Williams,WAS,DL,68,32,0,23,,,,,,,,,,,,,,,79,40
Jonathan Ledbetter,ARI,DL,58,74,62,0,,,,,,,,,,,,,,,141,64
Cameron Thomas,ARI,DL,37,40,43,35,,,,,,,,,,,,,,,107,39
Victor Dimukeje,ARI,DL,35,32,56,49,,,,,,,,,,,,,,,119,43
Leki Fotu,ARI,DL,24,0,52,76,,,,,,,,,,,,,,,101,49
Kevin Strong,ARI,DL,44,74,53,55,,,,,,,,,,,,,,,154,56
BJ Ojulari,ARI,DL,17,0,19,0,,,,,,,,,,,,,,,27,18
Carlos Watkins,ARI,DL,46,15,0,0,,,,,,,,,,,,,,,43,31
Tanoh Kpassagnon,NO,DL,43,32,27,0,,,,,,,,,,,,,,,67,34
Carl Granderson,NO,DL,75,73,81,79,,,,,,,,,,,,,,,211,77
Malcolm Roach,NO,DL,30,32,39,41,,,,,,,,,,,,,,,98,36
Cameron Jordan,NO,DL,86,77,86,86,,,,,,,,,,,,,,,229,84
Bryan Bresee,NO,DL,41,47,48,45,,,,,,,,,,,,,,,124,45
Payton Turner,NO,DL,11,0,0,0,,,,,,,,,,,,,,,7,11
Naquan Jones,TEN,DL,20,9,23,13,,,,,,,,,,,,,,,42,16
Teair Tart,TEN,DL,63,50,49,51,,,,,,,,,,,,,,,137,53
Denico Autry,TEN,DL,57,66,55,72,,,,,,,,,,,,,,,159,62
Jeffery Simmons,TEN,DL,95,88,79,87,,,,,,,,,,,,,,,224,87
Arden Key,TEN,DL,55,72,61,70,,,,,,,,,,,,,,,165,64
Kyle Peko,TEN,DL,34,40,35,15,,,,,,,,,,,,,,,82,32
Dean Lowry,MIN,DL,68,51,47,31,,,,,,,,,,,,,,,138,49
Khyiris Tonga,MIN,DL,13,0,0,0,,,,,,,,,,,,,,,9,13
D.J. Wonnum,MIN,DL,79,68,89,62,,,,,,,,,,,,,,,210,74
Jonathan Bullard,MIN,DL,43,36,41,43,,,,,,,,,,,,,,,115,41
Harrison Phillips,MIN,DL,88,78,77,68,,,,,,,,,,,,,,,220,78
Danielle Hunter,MIN,DL,85,94,92,78,,,,,,,,,,,,,,,247,87
Mike Greene,TB,DL,47,47,0,37,,,,,,,,,,,,,,,79,43
Anthony Nelson,TB,DL,39,0,41,32,,,,,,,,,,,,,,,79,38
William Gholston,TB,DL,17,0,45,22,,,,,,,,,,,,,,,61,29
Calijah Kancey,TB,DL,17,0,0,0,,,,,,,,,,,,,,,11,17
Logan Hall,TB,DL,62,64,61,63,,,,,,,,,,,,,,,164,62
Vita Vea,TB,DL,59,64,54,68,,,,,,,,,,,,,,,159,61
Grover Stewart,IND,DL,66,50,60,50,,,,,,,,,,,,,,,172,56
DeForest Buckner,IND,DL,67,73,79,24,,,,,,,,,,,,,,,185,60
Eric Johnson II,IND,DL,26,20,0,22,,,,,,,,,,,,,,,53,22
Taven Bryan,IND,DL,34,27,25,48,,,,,,,,,,,,,,,104,34
Dayo Odeyingbo,IND,DL,50,49,51,59,,,,,,,,,,,,,,,161,52
Kwity Paye,IND,DL,66,65,68,63,,,,,,,,,,,,,,,202,65
Travon Walker,JAC,DL,85,84,84,74,,,,,,,,,,,,,,,207,82
Angelo Blackson,JAC,DL,31,30,0,34,,,,,,,,,,,,,,,62,31
Folorunso Fatukasi,JAC,DL,46,0,46,40,,,,,,,,,,,,,,,82,44
Josh Allen,JAC,DL,79,57,70,76,,,,,,,,,,,,,,,178,70
Adam Gotsis,JAC,DL,39,40,39,38,,,,,,,,,,,,,,,99,39
Jeremiah Ledbetter,JAC,DL,36,36,45,0,,,,,,,,,,,,,,,75,38
Roy Robertson-Harris,JAC,DL,67,61,73,66,,,,,,,,,,,,,,,168,66
Joey Bosa,LAC,DL,87,29,34,0,,,,,,,,,,,,,,,105,49
Nick Williams,LAC,DL,49,49,32,49,,,,,,,,,,,,,,,127,44
Sebastian Joseph-Day,LAC,DL,54,69,59,68,,,,,,,,,,,,,,,179,62
Tuli Tuipulotu,LAC,DL,33,77,77,86,,,,,,,,,,,,,,,198,69
Austin Johnson,LAC,DL,52,69,48,53,,,,,,,,,,,,,,,158,55
Emmanuel Ogbah,MIA,DL,22,0,37,29,,,,,,,,,,,,,,,58,29
Zach Sieler,MIA,DL,80,70,58,74,,,,,,,,,,,,,,,196,71
Jaelan Phillips,MIA,DL,90,0,47,0,,,,,,,,,,,,,,,102,71
Raekwon Davis,MIA,DL,57,50,49,40,,,,,,,,,,,,,,,136,50
Christian Wilkins,MIA,DL,84,70,54,72,,,,,,,,,,,,,,,195,71
Jarran Reed,SEA,DL,73,64,53,51,,,,,,,,,,,,,,,181,60
Derick Hall,SEA,DL,25,36,42,36,,,,,,,,,,,,,,,104,35
Dre'Mont Jones,SEA,DL,68,79,41,55,,,,,,,,,,,,,,,180,60
Boye Mafe,SEA,DL,53,0,73,51,,,,,,,,,,,,,,,139,59
Darrell Taylor,SEA,DL,46,70,11,53,,,,,,,,,,,,,,,132,44
Michael Hoecht,LAR,DL,92,91,92,95,,,,,,,,,,,,,,,231,93
Earnest Brown IV,LAR,DL,10,0,0,0,,,,,,,,,,,,,,,5,10
Kobie Turner,LAR,DL,57,49,62,53,,,,,,,,,,,,,,,139,56
Zach VanValkenburg,LAR,DL,22,11,0,0,,,,,,,,,,,,,,,17,16
Jonah Williams,LAR,DL,39,54,43,52,,,,,,,,,,,,,,,117,47
Aaron Donald,LAR,DL,82,95,82,81,,,,,,,,,,,,,,,211,85
Bobby Brown III,LAR,DL,37,51,21,50,,,,,,,,,,,,,,,96,39
Byron Young,LAR,DL,84,91,92,95,,,,,,,,,,,,,,,227,91
Deatrich Wise Jr.,NE,DL,62,68,63,61,,,,,,,,,,,,,,,167,64
Keion White,NE,DL,35,0,29,39,,,,,,,,,,,,,,,68,35
Josh Uche,NE,DL,36,37,41,26,,,,,,,,,,,,,,,91,35
Davon Godchaux,NE,DL,62,57,17,49,,,,,,,,,,,,,,,122,46
